10 WSNAccount           00000 00000.00 S 
01 WSNAccount           00001 00095.00   
00 WSNAccount           00000 00000.00   
10                      00000 00000.00 A 
08 WSSAccount           00002 00000.00   
00                      00000 00000.00   
10                      00000 00000.00 A 
01 WAAccount            00003 00100.00   
00                      00000 00000.00   
10                      00000 00000.00 A 
08 TTSSAccount          00005 00000.00   
08 TFSSAccount          00008 00000.00   
08 CPAccount            00010 00000.00   
00                      00000 00000.00   
